,Gene,RNA tissue category,RNA TS TPM
7412,TRIM64B,Tissue enriched,placenta: 3.1
7413,TRIM67,Tissue enriched,cerebral cortex: 10.3
7414,TRIM69,Tissue enriched,testis: 57.2
7415,TRIM7,Group enriched,skeletal muscle: 67.7;skin: 22.1
7416,TRIM71,Tissue enriched,testis: 9.1
7417,TRIM72,Tissue enriched,skeletal muscle: 52.4
7418,TRIM74,Tissue enhanced,stomach: 5.3
7419,TRIM9,Tissue enriched,cerebral cortex: 79.2
7420,TRIML1,Tissue enriched,testis: 14.7
7421,TRIML2,Group enriched,placenta: 5.9;testis: 3.4
7422,TRIP13,Tissue enriched,testis: 53.5
7423,TRNP1,Tissue enhanced,stomach: 116.8
7424,TRO,Tissue enhanced,cerebral cortex: 30.0
7425,TROAP,Tissue enhanced,bone marrow: 32.0;testis: 44.1
7426,TRPA1,Tissue enhanced,urinary bladder: 29.5
7427,TRPC3,Tissue enhanced,smooth muscle: 4.1
7428,TRPC4,Tissue enhanced,endometrium: 18.6;seminal vesicle: 12.1;smooth muscle: 18.5
7429,TRPC5,Tissue enhanced,cerebral cortex: 1.9
7430,TRPC5OS,Tissue enriched,testis: 45.5
7431,TRPC6,Tissue enhanced,placenta: 30.1
7432,TRPM1,Group enriched,skin: 4.8;testis: 2.1
7433,TRPM3,Tissue enhanced,kidney: 17.6
7434,TRPM5,Group enriched,colon: 1.0;duodenum: 2.9;epididymis: 2.2;seminal vesicle: 2.5;small intestine: 2.9
7435,TRPM6,Tissue enhanced,colon: 13.1;rectum: 18.2
7436,TRPM7,Tissue enriched,parathyroid gland: 216.4
7437,TRPM8,Tissue enriched,prostate: 127.3
7438,TRPS1,Tissue enhanced,breast: 75.9
7439,TRPV3,Tissue enhanced,skin: 5.1;small intestine: 4.5
7440,TRPV6,Tissue enhanced,prostate: 37.4;salivary gland: 28.9
7441,TSACC,Tissue enriched,testis: 1514.6
7442,TSGA10,Group enriched,fallopian tube: 19.2;testis: 92.9
7443,TSGA10IP,Tissue enriched,testis: 5.9
7444,TSGA13,Tissue enriched,testis: 21.0
7445,TSHR,Tissue enriched,thyroid gland: 445.5
7446,TSKS,Tissue enriched,testis: 72.4
7447,TSLP,Tissue enhanced,gallbladder: 15.0
7448,TSNAXIP1,Group enriched,fallopian tube: 15.6;testis: 39.9
7449,TSPAN1,Tissue enhanced,colon: 525.0;rectum: 651.6
7450,TSPAN10,Tissue enhanced,skin: 1.5
7451,TSPAN16,Tissue enriched,testis: 154.0
7452,TSPAN19,Tissue enhanced,testis: 8.1
7453,TSPAN2,Tissue enhanced,endometrium: 71.7;smooth muscle: 64.6
7454,TSPAN32,Tissue enhanced,bone marrow: 12.0;heart muscle: 7.6
7455,TSPAN5,Tissue enhanced,cerebral cortex: 75.9
7456,TSPAN7,Tissue enriched,cerebral cortex: 574.4
7457,TSPAN8,Tissue enhanced,colon: 910.6;duodenum: 905.9;rectum: 911.5;small intestine: 909.2
7458,TSPEAR,Tissue enhanced,parathyroid gland: 2.7;testis: 2.6
7459,TSPO2,Tissue enriched,bone marrow: 30.8
7460,TSPY1,Tissue enriched,testis: 8.3
7461,TSPY10,Tissue enriched,testis: 3.1
7462,TSPY2,Tissue enriched,testis: 14.1
7463,TSPY3,Tissue enriched,testis: 4.2
7464,TSPY4,Tissue enriched,testis: 62.6
7465,TSPY8,Tissue enriched,testis: 1.3
7466,TSPYL5,Tissue enhanced,testis: 81.4
7467,TSPYL6,Tissue enriched,testis: 39.0
7468,TSSK1B,Tissue enriched,testis: 62.0
7469,TSSK2,Tissue enriched,testis: 120.4
7470,TSSK3,Tissue enhanced,testis: 25.5
7471,TSSK4,Tissue enhanced,testis: 42.2
7472,TSSK6,Tissue enriched,testis: 18.6
7473,TTBK1,Tissue enriched,cerebral cortex: 18.9
7474,TTBK2,Tissue enhanced,testis: 61.5
7475,TTC16,Group enriched,fallopian tube: 10.9;testis: 18.3
7476,TTC21A,Tissue enriched,testis: 39.4
7477,TTC22,Tissue enhanced,esophagus: 40.6
7478,TTC23L,Tissue enriched,testis: 39.2
7479,TTC24,Tissue enhanced,lymph node: 6.4;spleen: 3.8;tonsil: 4.2
7480,TTC25,Group enriched,fallopian tube: 47.3;testis: 70.5
7481,TTC26,Tissue enhanced,fallopian tube: 22.6;testis: 22.1
7482,TTC29,Group enriched,fallopian tube: 34.2;testis: 151.1
7483,TTC34,Tissue enhanced,fallopian tube: 1.6;testis: 2.6
7484,TTC36,Tissue enhanced,liver: 64.4
7485,TTC39A,Tissue enhanced,testis: 87.4
7486,TTC6,Group enriched,breast: 10.5;prostate: 28.3;testis: 10.4
7487,TTC7A,Tissue enhanced,testis: 40.9
7488,TTC9,Tissue enhanced,esophagus: 44.6
7489,TTC9B,Tissue enriched,cerebral cortex: 57.5
7490,TTK,Tissue enhanced,testis: 60.8
7491,TTLL10,Group enriched,fallopian tube: 14.2;testis: 27.9
7492,TTLL13P,Tissue enriched,testis: 5.0
7493,TTLL2,Tissue enriched,testis: 34.1
7494,TTLL5,Tissue enriched,testis: 104.0
7495,TTLL6,Tissue enhanced,testis: 26.0
7496,TTLL7,Tissue enhanced,cerebral cortex: 46.8
7497,TTLL8,Tissue enriched,testis: 4.2
7498,TTLL9,Tissue enhanced,fallopian tube: 7.1;testis: 6.3
7499,TTN,Tissue enriched,skeletal muscle: 322.5
7500,TTPA,Tissue enriched,liver: 82.7
7501,TTR,Tissue enriched,liver: 6343.2
7502,TTYH1,Tissue enriched,cerebral cortex: 57.7
7503,TTYH2,Tissue enriched,cerebral cortex: 129.2
7504,TUBA3C,Tissue enriched,testis: 513.8
7505,TUBA3D,Tissue enriched,testis: 250.3
7506,TUBA3E,Tissue enriched,testis: 74.6
7507,TUBA4B,Tissue enriched,fallopian tube: 64.2
7508,TUBA8,Group enriched,cerebral cortex: 28.6;heart muscle: 83.0;skeletal muscle: 121.7;testis: 47.4
7509,TUBAL3,Tissue enhanced,duodenum: 24.4;small intestine: 31.0
7510,TUBB1,Group enriched,bone marrow: 4.8;lung: 2.1;placenta: 1.5;spleen: 5.6;testis: 1.5
7511,TUBB2A,Tissue enriched,cerebral cortex: 622.8
7512,TUBB2B,Tissue enriched,cerebral cortex: 308.7
7513,TUBB3,Tissue enriched,cerebral cortex: 195.6
7514,TUBB4A,Tissue enhanced,adrenal gland: 137.6;cerebral cortex: 554.4
7515,TUBB8,Tissue enhanced,testis: 1.0
7516,TUBG1,Tissue enriched,testis: 242.8
7517,TUFT1,Tissue enhanced,skin: 92.8
7518,TULP2,Tissue enriched,testis: 41.0
7519,TUNAR,Tissue enhanced,cerebral cortex: 4.0;endometrium: 1.8;fallopian tube: 2.5
7520,TUSC5,Tissue enriched,adipose tissue: 110.0
7521,TVP23A,Tissue enhanced,cerebral cortex: 6.3
7522,TWIST1,Tissue enhanced,adipose tissue: 22.7;endometrium: 30.7
7523,TWIST2,Tissue enhanced,"cervix, uterine: 40.1"
7524,TXK,Tissue enhanced,lymph node: 17.9
7525,TXLNB,Group enriched,heart muscle: 52.2;skeletal muscle: 102.3
7526,TXNDC16,Tissue enhanced,prostate: 43.0
7527,TXNDC2,Tissue enriched,testis: 143.7
7528,TXNDC8,Tissue enriched,testis: 44.0
7529,TXNRD3,Tissue enhanced,testis: 43.4
7530,TYMP,Tissue enhanced,appendix: 100.6
7531,TYR,Tissue enriched,skin: 29.8
7532,TYRO3,Tissue enhanced,cerebral cortex: 67.4;ovary: 61.6
7533,TYRP1,Group enriched,heart muscle: 40.2;skin: 169.1
7534,U82695.5,Group enriched,epididymis: 5.8;ovary: 4.7;testis: 10.9
7535,UBASH3A,Tissue enhanced,lymph node: 12.5
7536,UBASH3B,Tissue enhanced,placenta: 19.6;spleen: 21.3
7537,UBD,Tissue enhanced,lymph node: 94.9;tonsil: 92.5
7538,UBE2L5P,Tissue enriched,testis: 86.2
7539,UBE2Q2L,Tissue enhanced,ovary: 2.2
